,genome_id,genome_name,taxon_id,genome_status,genome_length,gc_content,contig_l50,contig_n50,chromosomes,plasmids,contigs,patric_cds,refseq_cds,trna,rrnacoarse_consistency,fine_consistency,checkm_completeness,checkm_contamination,genome_qualitydate_created,date_modified
284838,562.22645,Escherichia coli O134 strain ECO0232,562,WGS,4725237,50.62,7.0,249643.0,,,48,4613.0,,61.0,,98.8,100.0,0.0,,2017-11-29T17:54:53.913Z
284839,562.22731,Escherichia coli O134:H31 strain ECO0319,562,WGS,4813982,50.58,9.0,201854.0,,,58,4759.0,,64.0,,99.3,100.0,0.0,,2017-11-29T18:00:45.546Z
284844,562.22589,Escherichia coli O134:NA strain ECO0164,562,WGS,4871297,50.55,6.0,266790.0,,,57,4807.0,,63.0,,98.9,100.0,0.0,,2017-11-29T17:38:01.212Z
285002,562.22628,Escherichia coli O148:H30 strain ECO0214,562,WGS,4967553,50.76,20.0,81888.0,,,157,5034.0,,69.0,,97.9,98.9,0.7,,2017-11-29T17:52:44.785Z
285453,562.22614,Escherichia coli O159:H21 strain ECO0190,562,WGS,4682346,50.67,11.0,182962.0,,,71,4588.0,,67.0,,99.6,100.0,0.0,,2017-11-29T17:47:26.875Z
285456,562.22586,Escherichia coli O15:H1 strain ECO0161,562,WGS,5048137,50.69,12.0,134250.0,,,92,4950.0,,68.0,,99.2,100.0,0.0,,2017-11-29T17:45:31.265Z
285457,562.22765,Escherichia coli O15:H1 strain ECO0356,562,WGS,5085055,50.64,11.0,134250.0,,,93,5000.0,,70.0,,99.1,100.0,0.4,,2017-11-29T18:01:47.519Z
285486,562.22527,Escherichia coli O15:H12 strain ECO0101,562,WGS,5105985,50.59,10.0,166690.0,,,97,5021.0,,74.0,,99.3,100.0,0.0,,2017-11-29T17:30:40.325Z
285487,562.22583,Escherichia coli O15:H12 strain ECO0158,562,WGS,5096060,50.6,11.0,158185.0,,,91,5032.0,,70.0,,99.0,99.6,0.0,,2017-11-29T17:44:36.875Z
285497,562.22652,Escherichia coli O15:H18 strain ECO0239,562,WGS,5222035,50.63,16.0,95116.0,,,168,5227.0,,66.0,,98.6,100.0,0.0,,2017-11-29T17:56:13.056Z
285498,562.22749,Escherichia coli O15:H18 strain ECO0339,562,WGS,5209015,50.72,13.0,117639.0,,,132,5186.0,,58.0,,98.7,100.0,0.0,,2017-11-29T18:03:35.790Z
285510,562.22875,Escherichia coli O15:H4 strain ECO0364,562,WGS,5147418,50.63,17.0,88709.0,,,148,5229.0,,74.0,,98.7,100.0,0.4,,2017-11-29T18:06:42.826Z
285516,562.22431,Escherichia coli O162:H10 strain ECO0004,562,WGS,4757308,50.63,16.0,91933.0,,,120,4723.0,,57.0,,98.8,98.9,0.7,,2017-11-29T16:59:14.230Z
285521,562.22429,Escherichia coli O162:H9 strain ECO0002,562,WGS,4659158,50.58,14.0,112456.0,,,92,4598.0,,66.0,,98.7,100.0,0.7,,2017-11-29T16:56:16.171Z
285527,562.22436,Escherichia coli O166:H15 strain ECO0009,562,WGS,5027294,50.54,12.0,153420.0,,,89,4992.0,,67.0,,98.2,100.0,0.4,,2017-11-29T16:56:48.487Z
285528,562.22521,Escherichia coli O166:H15 strain ECO0095,562,WGS,4928110,50.55,10.0,140232.0,,,97,4829.0,,74.0,,99.0,100.0,0.0,,2017-11-29T17:30:19.268Z
285545,562.22511,Escherichia coli O16:H48 strain ECO0084,562,WGS,4958824,50.69,12.0,147443.0,,,93,4927.0,,70.0,,98.7,100.0,0.7,,2017-11-29T17:29:50.126Z
285561,562.22445,Escherichia coli O16:H5 strain ECO0018,562,WGS,4958917,50.73,10.0,182135.0,,,93,4932.0,,73.0,,99.0,100.0,0.0,,2017-11-29T17:15:55.329Z
285562,562.22543,Escherichia coli O16:H5 strain ECO0118,562,WGS,4961986,50.67,10.0,180463.0,,,95,4918.0,,68.0,,99.1,100.0,0.0,,2017-11-29T17:36:08.686Z
285563,562.22612,Escherichia coli O16:H5 strain ECO0188,562,WGS,4905127,50.69,10.0,186348.0,,,97,4810.0,,62.0,,99.1,100.0,0.0,,2017-11-29T17:55:29.562Z
285565,562.22646,Escherichia coli O16:H5 strain ECO0233,562,WGS,4964627,50.77,11.0,169883.0,,,98,4952.0,,71.0,,98.8,100.0,0.0,,2017-11-29T17:55:49.338Z
285566,562.22685,Escherichia coli O16:H5 strain ECO0275,562,WGS,5057226,50.72,10.0,181870.0,,,133,5058.0,,63.0,,99.2,100.0,0.0,,2017-11-29T17:57:44.315Z
285567,562.22691,Escherichia coli O16:H5 strain ECO0281,562,WGS,4810292,50.71,10.0,186427.0,,,81,4710.0,,64.0,,98.9,100.0,0.0,,2017-11-29T17:57:49.566Z
285568,562.22755,Escherichia coli O16:H5 strain ECO0346,562,WGS,5095044,50.65,12.0,171480.0,,,126,5158.0,,67.0,,98.9,100.0,0.0,,2017-11-29T18:01:07.140Z
285569,562.22876,Escherichia coli O16:H5 strain ECO0366,562,WGS,4904138,50.73,11.0,153685.0,,,126,4863.0,,62.0,,98.9,100.0,0.0,,2017-11-29T18:06:34.723Z
285570,562.22778,Escherichia coli O16:H5 strain ECO0372,562,WGS,4990037,50.78,11.0,181461.0,,,108,4977.0,,62.0,,98.9,100.0,0.0,,2017-11-29T18:02:32.496Z
285571,562.22814,Escherichia coli O16:H5 strain ECO0413,562,WGS,4983260,50.67,11.0,180627.0,,,91,4968.0,,68.0,,98.9,100.0,0.0,,2017-11-29T18:04:24.600Z
285572,562.22815,Escherichia coli O16:H5 strain ECO0414,562,WGS,4932917,50.72,9.0,186427.0,,,85,4858.0,,67.0,,99.0,100.0,0.0,,2017-11-29T18:04:32.747Z
285584,562.22524,Escherichia coli O16:H6 strain ECO0098,562,WGS,5132351,50.52,12.0,172833.0,,,111,5173.0,,71.0,,99.0,100.0,0.7,,2017-11-29T17:31:22.022Z
285585,562.22532,Escherichia coli O16:H6 strain ECO0107,562,WGS,5079577,50.63,10.0,189581.0,,,111,5111.0,,69.0,,99.3,100.0,0.4,,2017-11-29T17:25:51.328Z
285586,562.2257,Escherichia coli O16:H6 strain ECO0145,562,WGS,5104427,50.45,11.0,192774.0,,,129,5142.0,,77.0,,98.9,100.0,0.4,,2017-11-29T17:46:23.756Z
285587,562.22627,Escherichia coli O16:H6 strain ECO0212,562,WGS,5088093,50.48,10.0,174143.0,,,134,5116.0,,69.0,,98.9,100.0,0.7,,2017-11-29T17:52:47.413Z
285588,562.22872,Escherichia coli O16:H6 strain ECO0220,562,WGS,5113096,50.56,12.0,172372.0,,,120,5146.0,,74.0,,98.9,100.0,0.7,,2017-11-29T18:06:37.367Z
285589,562.22825,Escherichia coli O16:H6 strain ECO0425,562,WGS,5082825,50.64,14.0,147574.0,,,146,5104.0,,66.0,,99.1,100.0,0.7,,2017-11-29T18:05:12.706Z
285607,562.22779,Escherichia coli O17 strain ECO0303,562,WGS,5321371,50.54,20.0,88421.0,,,144,5322.0,,69.0,,97.9,100.0,0.4,,2017-11-29T18:03:03.586Z
285623,562.22435,Escherichia coli O17:H18 strain ECO0008,562,WGS,5289619,50.62,13.0,137182.0,,,128,5301.0,,68.0,,98.5,100.0,0.4,,2017-11-29T16:56:59.037Z
285624,562.22461,Escherichia coli O17:H18 strain ECO0034,562,WGS,5314190,50.73,13.0,134216.0,,,127,5353.0,,65.0,,98.4,100.0,0.0,,2017-11-29T16:57:04.456Z
285625,562.22471,Escherichia coli O17:H18 strain ECO0043,562,WGS,5362352,50.5,14.0,124607.0,,,176,5413.0,,70.0,,98.0,100.0,0.4,,2017-11-29T16:58:36.546Z
285626,562.22473,Escherichia coli O17:H18 strain ECO0046,562,WGS,4801061,50.63,11.0,175934.0,,,76,4638.0,,61.0,,99.1,100.0,0.0,,2017-11-29T16:58:28.548Z
285627,562.22484,Escherichia coli O17:H18 strain ECO0057,562,WGS,5194666,50.66,14.0,146464.0,,,129,5156.0,,68.0,,98.6,100.0,0.0,,2017-11-29T17:19:47.986Z
285628,562.22485,Escherichia coli O17:H18 strain ECO0058,562,WGS,5381197,50.57,17.0,94771.0,,,156,5456.0,,70.0,,98.4,100.0,0.0,,2017-11-29T17:19:55.811Z
285629,562.22515,Escherichia coli O17:H18 strain ECO0089,562,WGS,5137538,50.63,14.0,129092.0,,,142,5127.0,,70.0,,98.7,100.0,0.0,,2017-11-29T17:30:21.924Z
285630,562.22544,Escherichia coli O17:H18 strain ECO0119,562,WGS,5229594,50.66,12.0,162654.0,,,126,5165.0,,66.0,,98.7,100.0,0.4,,2017-11-29T17:32:29.570Z
285631,562.22546,Escherichia coli O17:H18 strain ECO0121,562,WGS,5402071,50.49,16.0,110776.0,,,154,5494.0,,69.0,,98.5,100.0,0.0,,2017-11-29T17:37:47.348Z
285632,562.22548,Escherichia coli O17:H18 strain ECO0123,562,WGS,5361154,50.59,17.0,116814.0,,,167,5474.0,,74.0,,98.7,100.0,0.0,,2017-11-29T17:33:16.667Z
285633,562.22602,Escherichia coli O17:H18 strain ECO0178,562,WGS,5180945,50.61,14.0,129615.0,,,137,5164.0,,69.0,,98.7,100.0,0.0,,2017-11-29T17:53:38.450Z
285634,562.23854,Escherichia coli O17:H18 strain ECO0199,562,WGS,5271664,50.64,15.0,107525.0,,,135,5320.0,,77.0,,98.4,100.0,0.0,,2017-11-29T19:17:01.915Z
285635,562.22619,Escherichia coli O17:H18 strain ECO0204,562,WGS,5184605,50.63,13.0,132488.0,,,121,5151.0,,69.0,,98.8,100.0,0.4,,2017-11-29T17:52:55.366Z
285636,562.22636,Escherichia coli O17:H18 strain ECO0223,562,WGS,5149079,50.49,12.0,158050.0,,,111,5107.0,,70.0,,98.4,100.0,0.0,,2017-11-29T17:55:43.714Z
285637,562.22672,Escherichia coli O17:H18 strain ECO0260,562,WGS,5151560,50.63,14.0,106873.0,,,132,5123.0,,68.0,,98.9,100.0,0.0,,2017-11-29T17:58:50.328Z
285638,562.22676,Escherichia coli O17:H18 strain ECO0265,562,WGS,5255458,50.62,13.0,134217.0,,,124,5242.0,,66.0,,98.4,100.0,0.0,,2017-11-29T17:57:02.652Z
285639,562.22688,Escherichia coli O17:H18 strain ECO0278,562,WGS,5382713,50.68,17.0,97989.0,,,146,5432.0,,63.0,,98.7,100.0,0.0,,2017-11-29T17:58:14.168Z
285640,562.22693,Escherichia coli O17:H18 strain ECO0284,562,WGS,5114823,50.67,12.0,126257.0,,,118,5081.0,,65.0,,98.8,100.0,0.0,,2017-11-29T17:58:08.568Z
285641,562.22735,Escherichia coli O17:H18 strain ECO0324,562,WGS,5222692,50.68,14.0,118931.0,,,119,5204.0,,65.0,,98.4,100.0,0.0,,2017-11-29T18:00:51.045Z
285642,562.22772,Escherichia coli O17:H18 strain ECO0363,562,WGS,5212001,50.65,17.0,88421.0,,,154,5180.0,,63.0,,98.5,100.0,0.4,,2017-11-29T18:02:26.683Z
285643,562.22785,Escherichia coli O17:H18 strain ECO0383,562,WGS,5229965,50.69,13.0,131775.0,,,117,5247.0,,64.0,,98.8,100.0,0.0,,2017-11-29T18:03:06.310Z
285644,562.22786,Escherichia coli O17:H18 strain ECO0384,562,WGS,5217035,50.63,14.0,130077.0,,,138,5248.0,,64.0,,98.6,100.0,0.0,,2017-11-29T18:03:14.237Z
285702,562.2247,Escherichia coli O182:H7 strain ECO0042,562,WGS,4780462,50.69,8.0,196518.0,,,53,4708.0,,66.0,,99.4,100.0,0.0,,2017-11-29T16:57:33.843Z
285704,562.22661,Escherichia coli O185:H10 strain ECO0251,562,WGS,5013184,50.65,9.0,194327.0,,,68,5002.0,,75.0,,98.6,100.0,0.7,,2017-11-29T17:57:10.707Z
285708,562.22474,Escherichia coli O18:H1 strain ECO0047,562,WGS,5010329,50.59,10.0,174145.0,,,111,4947.0,,64.0,,99.0,100.0,0.0,,2017-11-29T17:18:32.080Z
285709,562.22489,Escherichia coli O18:H1 strain ECO0062,562,WGS,5133772,50.56,9.0,202448.0,,,102,5139.0,,76.0,,99.0,100.0,0.0,,2017-11-29T17:21:16.458Z
285710,562.22506,Escherichia coli O18:H1 strain ECO0079,562,WGS,4973341,50.57,8.0,193192.0,,,79,4883.0,,61.0,,98.9,100.0,0.0,,2017-11-29T17:29:44.847Z
285711,562.22609,Escherichia coli O18:H1 strain ECO0185,562,WGS,5002802,50.44,9.0,185841.0,,,96,4930.0,,68.0,,99.0,100.0,0.0,,2017-11-29T17:53:03.263Z
285731,562.2251,Escherichia coli O18:H5 strain ECO0083,562,WGS,5218839,50.46,10.0,175045.0,,,111,5265.0,,70.0,,98.6,100.0,0.4,,2017-11-29T17:31:29.913Z
285732,562.22517,Escherichia coli O18:H5 strain ECO0091,562,WGS,5108477,50.55,12.0,160690.0,,,109,5130.0,,72.0,,98.4,100.0,0.4,,2017-11-29T17:32:16.861Z
285733,562.22698,Escherichia coli O18:H5 strain ECO0288,562,WGS,4883205,50.56,12.0,143143.0,,,88,4792.0,,60.0,,98.3,100.0,0.7,,2017-11-29T17:57:55.551Z
285734,562.22752,Escherichia coli O18:H5 strain ECO0343,562,WGS,5211564,50.44,13.0,124961.0,,,110,5223.0,,65.0,,98.6,100.0,0.4,,2017-11-29T18:00:58.983Z
285744,562.22563,Escherichia coli O18:H7 strain ECO0138,562,WGS,5172171,50.51,9.0,139682.0,,,120,5207.0,,70.0,,98.9,100.0,0.0,,2017-11-29T17:37:58.494Z
285745,562.22576,Escherichia coli O18:H7 strain ECO0151,562,WGS,5206836,50.52,8.0,181584.0,,,80,5232.0,,62.0,,98.9,100.0,0.0,,2017-11-29T17:44:21.823Z
285746,562.22703,Escherichia coli O18:H7 strain ECO0293,562,WGS,5107592,50.62,8.0,181812.0,,,95,5134.0,,75.0,,99.1,100.0,0.0,,2017-11-29T17:59:13.991Z
285747,562.22726,Escherichia coli O18:H7 strain ECO0313,562,WGS,4865793,50.71,8.0,188169.0,,,58,4818.0,,62.0,,99.3,100.0,0.0,,2017-11-29T18:00:28.235Z
285748,562.22753,Escherichia coli O18:H7 strain ECO0344,562,WGS,5202174,50.49,9.0,186106.0,,,104,5229.0,,67.0,,99.0,100.0,0.0,,2017-11-29T18:01:01.673Z
285749,562.22793,Escherichia coli O18:H7 strain ECO0390,562,WGS,5092096,50.51,10.0,176415.0,,,62,5048.0,,60.0,,98.7,100.0,0.0,,2017-11-29T18:01:57.993Z
285750,562.22801,Escherichia coli O18:H7 strain ECO0399,562,WGS,4957899,50.63,9.0,172828.0,,,93,4930.0,,73.0,,99.2,100.0,0.0,,2017-11-29T18:03:54.993Z
285769,562.22459,Escherichia coli O18ab:H14 strain ECO0032,562,WGS,4562365,51.05,28.0,50623.0,,,174,4585.0,,65.0,,97.6,98.5,1.1,,2017-11-29T16:59:16.844Z
285770,562.22468,Escherichia coli O18ac:H1 strain ECO0041,562,WGS,5033197,50.53,9.0,185952.0,,,103,5012.0,,72.0,,98.8,100.0,0.7,,2017-11-29T16:57:23.189Z
285773,562.22479,Escherichia coli O18ac:H4 strain ECO0052,562,WGS,5441885,50.58,12.0,173802.0,,,226,5567.0,,70.0,,98.1,100.0,0.1,,2017-11-29T17:19:21.312Z
285774,562.22567,Escherichia coli O19:H4 strain ECO0142,562,WGS,4996714,50.65,17.0,96361.0,,,151,5000.0,,77.0,,98.7,100.0,0.0,,2017-11-29T17:37:44.647Z
285776,562.22673,Escherichia coli O1:H1 strain ECO0261,562,WGS,5031330,50.58,10.0,172756.0,,,85,5024.0,,72.0,,99.2,100.0,0.0,,2017-11-29T17:58:38.046Z
285782,562.22618,Escherichia coli O1:H25 strain ECO0203,562,WGS,4988640,50.45,9.0,159223.0,,,76,4859.0,,68.0,,99.0,100.0,0.0,,2017-11-29T17:55:54.639Z
285786,562.22457,Escherichia coli O1:H6 strain ECO0031,562,WGS,5189662,50.49,10.0,179577.0,,,109,5166.0,,67.0,,99.0,100.0,0.4,,2017-11-29T17:18:28.830Z
285787,562.22481,Escherichia coli O1:H6 strain ECO0054,562,WGS,5237253,50.46,10.0,163568.0,,,113,5224.0,,72.0,,99.0,100.0,0.4,,2017-11-29T17:18:57.363Z
285788,562.22708,Escherichia coli O1:H6 strain ECO0193,562,WGS,5264400,50.45,11.0,170089.0,,,125,5269.0,,67.0,,98.4,100.0,0.4,,2017-11-29T17:59:35.791Z
285795,562.22433,Escherichia coli O1:H7 strain ECO0006,562,WGS,4995656,50.57,8.0,189395.0,,,62,4972.0,,68.0,,99.0,99.6,0.0,,2017-11-29T16:56:18.453Z
285796,562.22437,Escherichia coli O1:H7 strain ECO0010,562,WGS,5067060,50.49,9.0,185985.0,,,95,5119.0,,58.0,,98.9,100.0,0.0,,2017-11-29T16:56:42.929Z
285797,562.22447,Escherichia coli O1:H7 strain ECO0020,562,WGS,5139876,50.57,8.0,185897.0,,,76,5164.0,,64.0,,99.0,99.6,0.0,,2017-11-29T17:17:31.775Z
285798,562.22482,Escherichia coli O1:H7 strain ECO0055,562,WGS,5087296,50.55,24.0,58217.0,,,191,5176.0,,62.0,,97.1,99.6,0.7,,2017-11-29T17:19:33.762Z
285799,562.2249,Escherichia coli O1:H7 strain ECO0063,562,WGS,5108192,50.56,7.0,223566.0,,,73,5161.0,,71.0,,99.0,100.0,0.0,,2017-11-29T17:21:42.557Z
285800,562.22494,Escherichia coli O1:H7 strain ECO0067,562,WGS,5064009,50.47,9.0,175921.0,,,102,5081.0,,71.0,,98.9,100.0,0.0,,2017-11-29T17:22:31.783Z
285801,562.22549,Escherichia coli O1:H7 strain ECO0124,562,WGS,4989285,50.58,22.0,58217.0,,,190,5034.0,,69.0,,97.6,100.0,0.7,,2017-11-29T17:37:42.002Z
285802,562.2255,Escherichia coli O1:H7 strain ECO0125,562,WGS,5157055,50.52,9.0,180004.0,,,78,5186.0,,71.0,,99.0,99.6,0.0,,2017-11-29T17:32:53.725Z
285803,562.22558,Escherichia coli O1:H7 strain ECO0133,562,WGS,5091008,50.59,8.0,192225.0,,,96,5151.0,,60.0,,99.2,100.0,0.0,,2017-11-29T17:38:04Z
